epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,983.923,0.92059,1.43808,0.64129,1.01543,0,0.92046,0.92038,0.9476,0.70598,0.90944,0.90652,0.92636,0.55802,0.90357,1.52809,0.55154,0.99565,0,0.0007327,0.0007327,0.0007327
29,1018.74,0.92103,1.45478,0.64513,1.01587,0,0.89175,0.92446,0.92707,0.67468,0.87092,0.90248,0.8944,0.53534,0.93479,1.59155,0.59131,1.02067,0,0.0007228,0.0007228,0.0007228
30,1053.44,0.90612,1.43455,0.63371,1.00681,0,0.91708,0.92789,0.9559,0.70894,0.90208,0.91431,0.93955,0.58182,0.90032,1.41135,0.55398,0.99859,0,0.0007129,0.0007129,0.0007129
31,1088.53,0.90876,1.45415,0.64449,1.01384,0,0.90164,0.94745,0.93194,0.68913,0.89088,0.92376,0.91838,0.54343,0.90801,1.46739,0.53663,1.00144,0,0.000703,0.000703,0.000703
32,1124.04,0.90963,1.43875,0.63069,1.00613,0,0.88089,0.94072,0.94014,0.69878,0.85539,0.93341,0.90954,0.57484,0.89294,1.52257,0.56196,0.99101,0,0.0006931,0.0006931,0.0006931
33,1158.72,0.9105,1.43644,0.61971,1.00988,0,0.90152,0.91008,0.94189,0.70057,0.89339,0.90418,0.92124,0.57118,0.89584,1.47546,0.55045,0.99559,0,0.0006832,0.0006832,0.0006832
34,1193.12,0.89858,1.43209,0.61343,1.00266,0,0.91232,0.92816,0.93518,0.68368,0.8959,0.91061,0.91179,0.55344,0.89731,1.5212,0.53384,0.99082,0,0.0006733,0.0006733,0.0006733
35,1227.78,0.89386,1.4037,0.60919,0.99934,0,0.8967,0.94452,0.94119,0.71014,0.87866,0.92497,0.91353,0.55412,0.89094,1.46134,0.53861,0.98425,0,0.0006634,0.0006634,0.0006634
36,1262.56,0.90017,1.43563,0.63249,1.0024,0,0.89391,0.92918,0.93631,0.70248,0.88293,0.91743,0.9159,0.5764,0.89887,1.48605,0.54246,0.99488,0,0.0006535,0.0006535,0.0006535
37,1297.16,0.8885,1.3962,0.61229,0.99836,0,0.90533,0.93763,0.93934,0.68839,0.87184,0.92495,0.89894,0.554,0.91639,1.53553,0.55964,1.00351,0,0.0006436,0.0006436,0.0006436
38,1331.83,0.89875,1.41252,0.60637,1.00424,0,0.88967,0.94445,0.93941,0.70675,0.87814,0.93252,0.92241,0.54786,0.89393,1.46094,0.53044,0.99624,0,0.0006337,0.0006337,0.0006337
39,1366.13,0.88397,1.39411,0.5972,1.00264,0,0.93015,0.90482,0.94361,0.70993,0.91363,0.89,0.91949,0.56356,0.88369,1.4633,0.54269,0.99306,0,0.0006238,0.0006238,0.0006238
40,1400.56,0.87418,1.39514,0.59897,0.99792,0,0.88489,0.94715,0.93934,0.70209,0.88589,0.92592,0.92349,0.57648,0.87577,1.41977,0.53522,0.98227,0,0.0006139,0.0006139,0.0006139
41,1435.25,0.87602,1.3733,0.5799,0.99607,0,0.89192,0.93526,0.93685,0.6964,0.87689,0.92147,0.91699,0.55768,0.8866,1.45242,0.53539,0.98852,0,0.000604,0.000604,0.000604
42,1469.84,0.87688,1.39355,0.59927,0.99275,0,0.87591,0.93922,0.93769,0.68987,0.86647,0.91527,0.91865,0.57013,0.89036,1.43788,0.53005,0.98531,0,0.0005941,0.0005941,0.0005941
43,1504.06,0.86514,1.36183,0.59038,0.99076,0,0.89319,0.95096,0.94671,0.70736,0.87579,0.92728,0.91643,0.56099,0.87903,1.42978,0.53416,0.98463,0,0.0005842,0.0005842,0.0005842
44,1538.35,0.86666,1.36508,0.58445,0.99731,0,0.9051,0.92746,0.94685,0.71029,0.89533,0.90806,0.92984,0.58208,0.8654,1.40973,0.50359,0.97842,0,0.0005743,0.0005743,0.0005743
45,1572.76,0.85383,1.34121,0.55661,0.97974,0,0.8955,0.944,0.9413,0.69832,0.87968,0.92742,0.91435,0.56103,0.86018,1.48612,0.52131,0.97801,0,0.0005644,0.0005644,0.0005644
46,1607.34,0.87172,1.36196,0.57543,0.99027,0,0.8943,0.95024,0.93556,0.70938,0.86861,0.92577,0.90787,0.56355,0.86941,1.40221,0.51908,0.97847,0,0.0005545,0.0005545,0.0005545
47,1641.7,0.86256,1.35438,0.57914,0.98834,0,0.90542,0.92582,0.94709,0.72496,0.89472,0.91519,0.93057,0.58157,0.86723,1.44065,0.51207,0.97926,0,0.0005446,0.0005446,0.0005446
48,1676.27,0.86493,1.36541,0.56899,0.99398,0,0.91049,0.92633,0.9481,0.71955,0.89642,0.91257,0.93186,0.57918,0.87187,1.42124,0.51148,0.97265,0,0.0005347,0.0005347,0.0005347
49,1710.66,0.85446,1.34682,0.56179,0.98542,0,0.88832,0.95353,0.93913,0.71187,0.86956,0.9349,0.91547,0.57346,0.8676,1.43275,0.50393,0.97859,0,0.0005248,0.0005248,0.0005248
50,1745.33,0.86029,1.33243,0.56292,0.98774,0,0.90687,0.93526,0.95188,0.72263,0.89344,0.91948,0.92924,0.57939,0.8658,1.43966,0.51176,0.9743,0,0.0005149,0.0005149,0.0005149
51,1780.14,0.85601,1.34677,0.55503,0.9821,0,0.9049,0.93954,0.93925,0.71152,0.886,0.92252,0.91797,0.57152,0.87211,1.40658,0.50745,0.96837,0,0.000505,0.000505,0.000505
52,1814.64,0.85538,1.34734,0.57399,0.98285,0,0.92455,0.91519,0.94465,0.71808,0.89155,0.90594,0.91134,0.57704,0.86815,1.45969,0.52597,0.97239,0,0.0004951,0.0004951,0.0004951
53,1849.09,0.86233,1.35949,0.56057,0.99345,0,0.88105,0.96624,0.94505,0.72087,0.86277,0.95121,0.92188,0.58972,0.8677,1.41388,0.50156,0.97201,0,0.0004852,0.0004852,0.0004852
54,1883.63,0.8509,1.36378,0.56328,0.98256,0,0.91869,0.92692,0.94144,0.71201,0.88745,0.93342,0.92493,0.57023,0.85701,1.45603,0.51127,0.9588,0,0.0004753,0.0004753,0.0004753
55,1918.2,0.84358,1.31401,0.55036,0.97455,0,0.89622,0.94741,0.94268,0.71755,0.88034,0.93108,0.91855,0.57849,0.84749,1.39679,0.50505,0.96524,0,0.0004654,0.0004654,0.0004654
56,1953.19,0.84347,1.32436,0.5508,0.98116,0,0.89572,0.95236,0.93968,0.71104,0.88258,0.93814,0.92258,0.56661,0.8568,1.45536,0.49291,0.97145,0,0.0004555,0.0004555,0.0004555
57,1987.92,0.84822,1.31231,0.55157,0.98251,0,0.89411,0.93867,0.93766,0.71404,0.88133,0.92456,0.92177,0.56882,0.85795,1.41605,0.49714,0.97109,0,0.0004456,0.0004456,0.0004456
58,2022.18,0.83284,1.31141,0.54557,0.97126,0,0.89775,0.95261,0.94361,0.71783,0.87948,0.93735,0.91838,0.57366,0.84586,1.46619,0.47684,0.96171,0,0.0004357,0.0004357,0.0004357
59,2056.9,0.84441,1.33876,0.53511,0.98259,0,0.90197,0.95054,0.94491,0.71548,0.88619,0.94094,0.93256,0.5746,0.85022,1.41697,0.48635,0.96119,0,0.0004258,0.0004258,0.0004258
60,2091.85,0.82675,1.31316,0.54093,0.9698,0,0.9165,0.93374,0.94318,0.71795,0.89676,0.91315,0.92327,0.57916,0.84534,1.43572,0.49238,0.95949,0,0.0004159,0.0004159,0.0004159
61,2126.25,0.83416,1.30103,0.53153,0.97573,0,0.90781,0.94315,0.94143,0.72835,0.88928,0.92391,0.92215,0.58665,0.84927,1.37077,0.48722,0.9679,0,0.000406,0.000406,0.000406
62,2161.36,0.83221,1.29872,0.52184,0.97587,0,0.91426,0.94314,0.93867,0.70544,0.89364,0.92346,0.91651,0.5725,0.87155,1.44804,0.4945,0.97722,0,0.0003961,0.0003961,0.0003961
63,2195.97,0.82942,1.33315,0.54104,0.97446,0,0.91568,0.9388,0.94283,0.72496,0.89613,0.91855,0.91981,0.59009,0.84903,1.45853,0.48271,0.96547,0,0.0003862,0.0003862,0.0003862
64,2230.58,0.81629,1.30464,0.52116,0.96574,0,0.90365,0.93414,0.94394,0.71688,0.88686,0.90854,0.92225,0.58426,0.85633,1.42692,0.48494,0.97132,0,0.0003763,0.0003763,0.0003763
65,2265.49,0.82188,1.28673,0.51757,0.97155,0,0.90546,0.95056,0.94049,0.71153,0.8849,0.93052,0.9181,0.5696,0.84595,1.38431,0.47434,0.96318,0,0.0003664,0.0003664,0.0003664
66,2300.16,0.81772,1.28778,0.51469,0.97512,0,0.90781,0.93728,0.94051,0.72261,0.89181,0.91196,0.91903,0.57453,0.84634,1.42104,0.48214,0.9531,0,0.0003565,0.0003565,0.0003565
67,2334.91,0.80328,1.29506,0.51207,0.96457,0,0.90811,0.93351,0.95002,0.73586,0.89017,0.91332,0.92728,0.58407,0.82367,1.41532,0.48546,0.9477,0,0.0003466,0.0003466,0.0003466
68,2369.82,0.80345,1.279,0.50956,0.96206,0,0.92245,0.93358,0.94657,0.73362,0.8986,0.92552,0.93117,0.58077,0.84499,1.43119,0.46581,0.95329,0,0.0003367,0.0003367,0.0003367
69,2404.63,0.80518,1.27817,0.50961,0.95736,0,0.90469,0.94412,0.94618,0.72594,0.88633,0.92315,0.92446,0.57518,0.84406,1.42797,0.47848,0.95539,0,0.0003268,0.0003268,0.0003268
70,2438.99,0.81441,1.28568,0.50317,0.96517,0,0.91063,0.95633,0.94524,0.72412,0.89385,0.94566,0.92737,0.59279,0.83923,1.42048,0.45497,0.95682,0,0.0003169,0.0003169,0.0003169
71,2474.22,0.81099,1.29031,0.50766,0.96668,0,0.89576,0.95107,0.9477,0.73008,0.87934,0.93355,0.92457,0.57725,0.82811,1.42036,0.46814,0.95255,0,0.000307,0.000307,0.000307
72,2508.3,0.8041,1.27244,0.49805,0.96306,0,0.91515,0.93734,0.94372,0.72628,0.89442,0.91644,0.91936,0.57481,0.8283,1.45989,0.46405,0.9522,0,0.0002971,0.0002971,0.0002971
73,2543.43,0.81235,1.29108,0.51367,0.96233,0,0.88655,0.95753,0.9469,0.73184,0.87178,0.94168,0.92735,0.59384,0.8402,1.41556,0.46869,0.95456,0,0.0002872,0.0002872,0.0002872
74,2578.11,0.79549,1.27353,0.50161,0.96156,0,0.91708,0.93553,0.94987,0.73145,0.87167,0.93006,0.92114,0.59011,0.83577,1.45746,0.45488,0.95772,0,0.0002773,0.0002773,0.0002773
75,2612.38,0.79838,1.26662,0.49682,0.95305,0,0.90998,0.93621,0.94967,0.72896,0.8904,0.91596,0.92023,0.58087,0.8386,1.47533,0.46136,0.9601,0,0.0002674,0.0002674,0.0002674
76,2647.18,0.79111,1.25747,0.49418,0.95805,0,0.90751,0.93279,0.9429,0.71554,0.8703,0.93081,0.90828,0.57398,0.83883,1.44266,0.45372,0.95577,0,0.0002575,0.0002575,0.0002575
77,2682.08,0.79099,1.27998,0.50182,0.95244,0,0.91841,0.93948,0.95388,0.73952,0.89245,0.91738,0.91627,0.58782,0.84358,1.47676,0.44846,0.96343,0,0.0002476,0.0002476,0.0002476
78,2716.35,0.79039,1.26535,0.4974,0.95943,0,0.91076,0.95406,0.94726,0.73291,0.88814,0.93035,0.91912,0.58689,0.84097,1.4576,0.45842,0.96115,0,0.0002377,0.0002377,0.0002377
79,2751.15,0.77883,1.24718,0.48349,0.95308,0,0.90655,0.93489,0.953,0.7415,0.9057,0.89033,0.92827,0.59817,0.83873,1.44752,0.4613,0.9602,0,0.0002278,0.0002278,0.0002278
80,2785.46,0.79015,1.26347,0.48832,0.95678,0,0.89108,0.95223,0.9484,0.74023,0.87471,0.93835,0.92624,0.59027,0.83595,1.49181,0.45081,0.96125,0,0.0002179,0.0002179,0.0002179
81,2820.13,0.78532,1.24892,0.48969,0.9532,0,0.90692,0.92635,0.94454,0.73084,0.89184,0.90529,0.91993,0.58788,0.82362,1.46553,0.46321,0.95528,0,0.000208,0.000208,0.000208
82,2854.73,0.78654,1.25446,0.48239,0.95365,0,0.89794,0.94254,0.94985,0.73366,0.8743,0.91882,0.92901,0.58777,0.8372,1.44055,0.45781,0.95805,0,0.0001981,0.0001981,0.0001981
83,2889.11,0.78441,1.25665,0.4848,0.94928,0,0.90799,0.94315,0.94403,0.73185,0.89144,0.92296,0.91975,0.58396,0.82902,1.44983,0.46433,0.95193,0,0.0001882,0.0001882,0.0001882
84,2923.83,0.76685,1.23761,0.48061,0.94685,0,0.8996,0.94026,0.94654,0.73798,0.87646,0.91539,0.91989,0.58494,0.82064,1.50679,0.45736,0.94863,0,0.0001783,0.0001783,0.0001783
